id,nombre,departamento,latitud,longitud,poblacion2022,superficieKm2,densidad,queryUsada,slug,displayName
loc-25,Campo de Herrera,Famailla,-27.026668,-65.346104,1358,3.977000,341.463000,"Campo de Herrera, Famailla, Tucuman, Argentina",campo-de-herrera,"Campo de Herrera, Municipio de Famaillá, Departamento Famaillá, Tucumán, T4132, Argentina"
loc-26,Capitan Caceres,Monteros,-27.190120,-65.604780,1047,4.722000,221.728000,"Capitan Caceres, Monteros, Tucuman, Argentina",capitan-caceres,"Municipio de Capitán Cáceres, Departamento Monteros, Tucumán, T4142, Argentina"
loc-27,Cevil Redondo (Villa Carmela),Yerba Buena,-26.769976,-65.271034,21176,5.071000,4175.902000,"Cevil Redondo (Villa Carmela), Yerba Buena, Tucuman, Argentina",cevil-redondo,"Comuna Cevil Redondo, Los Alamos, Cebil Redondo, Departamento Yerba Buena, Tucumán, 4105, Argentina"
loc-28,Choromoro,Trancas,-26.408226,-65.290051,1067,6.267000,170.257000,"Choromoro, Trancas, Tucuman, Argentina",choromoro,"Río Choromoro, Municipio de Trancas, Departamento Trancas, Tucumán, T4124, Argentina"
loc-29,Chuscha,Trancas,-26.389246,-65.426770,1099,7.203000,152.575000,"Chuscha, Trancas, Tucuman, Argentina",chuscha,"Chuscha, Municipio de Trancas, Departamento Trancas, Tucumán, T4124, Argentina"
loc-30,Colalao del Valle,Tafi del Valle,-26.363079,-65.957160,964,3.260000,295.706000,"Colalao del Valle, Tafi del Valle, Tucuman, Argentina",colalao-del-valle,"Municipio de Colalao del Valle, Departamento Tafí del Valle, Tucumán, T4137, Argentina"
loc-31,Colombres,Cruz Alta,-26.892794,-65.107344,6325,1.614000,3918.835000,"Colombres, Cruz Alta, Tucuman, Argentina",colombres,"Municipio de Colombres, Departamento Cruz Alta, Tucumán, T4178, Argentina"
loc-32,Colonia 1,Rio Chico,-27.466670,-65.637592,249,7.093000,35.105000,"Colonia 1, Rio Chico, Tucuman, Argentina",colonia-1,"Colonia 13, Río Chico, Municipio de Santa Ana, Departamento Río Chico, Tucumán, T4153, Argentina"
loc-33,Colonia 6,Rio Chico,-27.510403,-65.688994,157,4.236000,37.063000,"Colonia 6, Rio Chico, Tucuman, Argentina",colonia-6,"Colonia 6, Municipio de Santa Ana, Departamento Río Chico, Tucumán, T4153, Argentina"
loc-34,Colonia 10,Rio Chico,-27.506444,-65.704959,9,3.244000,2.774000,"Colonia 10, Rio Chico, Tucuman, Argentina",colonia-10,"Colonia 10, Municipio de Santa Ana, Departamento Río Chico, Tucumán, T4153, Argentina"
