Nombre;Departamento;Poblacion Censo 1991-05-15;Poblacion Censo 2001-11-17;Poblacion Censo 2010-10-27;Poblacion Censo 2022-05-18;% CT ano a ano (1991-2022);Superficie en km2;Densidad de poblacion km2
La Cruz;Burruyacu;...;...;...;480;0;3.486;137.694
La Esperanza;Tafi Viejo;...;...;...;1581;0;2.671;591.913
La Florida;Cruz Alta;4314;5297;5959;5002;0.005144540655330729;2.618;1910.619
Lamadrid;Graneros;2471;2654;2841;3237;0.00999986945340139;1.743;1857.143
La Ramada;Burruyacu;941;13;1409;2293;-0.03217945905179802;1.017;2254.671
La Ramada de Abajo;Burruyacu;...;...;...;153;0;3.51;43.590
La Reduccion;Lules;1503;4749;5029;8035;0.140192732813942;3.893;2063.961
La Salina;Burruyacu;...;...;...;772;0;6.482;119.099
Las Carreras;Tafi del Valle;...;...;...;398;0;2.921;136.255
Las Cejas;Cruz Alta;1545;1638;1826;2718;0.024491074224866898;1.621;1676.743
Las Piedritas;Cruz Alta;...;...;...;420;0;4.432;94.765
Las Siringuillas;Tafi del Valle;...;...;...;22;0;1.143;19.248
Las Talas;Leales;...;...;...;387;0;4.633;83.531
Las Talitas (Villa Mariano Moreno - El Colmenar);Tafi Viejo;31866;48655;5296;68921;0.03751090757061324;15.44;4463.795
La Tipa;Rio Chico;...;...;...;1141;0;2;570.500
La Trinidad;Chicligasta;3699;4064;4274;6584;0.02515937175697006;2.813;2340.562
La Tuquita;Tafi Viejo;...;...;...;142;0;1.401;101.356
Los Aguirre;Lules;...;...;...;3977;0;6.154;646.246
Los Bulacio;Cruz Alta;...;...;...;957;0;1.593;600.753
Los Costilla;Monteros;...;...;...;481;0;1.277;376.664
Los Gomez;Leales;...;...;...;689;0;2.555;269.667
Los Guchea;Chicligasta;...;...;...;447;0;4.694;95.228
Los Laureles Sur;Famailla;...;...;...;171;0;9.541;17.923
Los Nogales (incl. Barrio Mutual San Martin, Barrio El Cruce);Tafi Viejo;...;1889;1752;5188;#VALUE!;6.094;851.329
Los Pereyra;Cruz Alta;...;...;...;495;0;1.854;266.990
Los Pizarros;La Cocha;...;...;...;1171;0;5.865;199.659
Los Puestos;Leales;...;244;274;357;#VALUE!;5.455;65.445
Los Ralos;Cruz Alta;5959;7662;9429;11431;0.029621770268880358;2.271;5033.465
Los Romano;Leales;...;...;...;502;0;3.242;154.843
Los Sarmiento;Rio Chico;211;2703;301;4575;0.037685369209600986;2.368;1932.010
Los Sosa;Monteros;...;...;...;320;0;1.076;297.398
Los Sueldos;Leales;...;...;...;451;0;3.204;140.762
Los Villagra;Cruz Alta;...;...;...;401;0;5.637;71.137
Los Zazos;Tafi del Valle;...;...;...;742;0;2.55;290.980
Macomitas;Burruyacu;...;535;481;1034;#VALUE!;7.773;133.025
Mancopa;Leales;...;...;...;1124;0;1.717;654.630
Manuela Pedraza;Simoca;...;...;...;535;0;4.867;109.924
Manuel Garcia Fernandez;Leales;843;1003;1061;1412;-0.03220403321470937;4.848;291.254
Medina (Villa de Medinas);Chicligasta;947;1331;1549;1442;-0.0322089450556937;9.227;156.280
Monteagudo;Simoca;722;815;880;1523;-0.03219001876507908;1.302;1169.739
Monte Bello;Rio Chico;...;...;...;786;0;4.687;167.698
Monteros;Monteros;19804;22236;23274;31001;0.01823841387533311;9.214;3364.554
Nueva Trinidad;Simoca;84;173;214;486;0.1543778801843318;1.387;350.397
Pacara;Cruz Alta;507;780;830;1066;-0.032190239867659225;3.31;322.054
Padilla;Famailla;...;...;...;762;0;2.347;324.670
Paso de las Lanzas;Burruyacu;...;...;...;172;0;1.531;112.345
Pueblo Independencia (Santa Rosa y Los Rojo);Monteros;2618;326;353;5056;0.030040168560092662;1.482;3411.606
